Loan ID,Customer ID,Loan Type,Loan Amount,Loan Term,Interest Rate (APR),Loan Start Date,Loan End Date,Loan Status,Collateral Value,Credit Score at Loan Application,Loan Purpose,Down Payment Amount,Repayment Schedule,Loan Officer ID
1021,4567,Personal,15000,36,12.5,2022-01-01,2023-12-31,Active,20000,720,Household Expenses,3000,"The repayment schedule for the loan will be as follows: 

Monthly Payment: $472.41 
Payment Due Date: 1st of every month 
Repayment Term: 36 months 
Total Amount Paid: $16944.64",1234
2165,541,Personal,25000,36,12.5,2022-01-15,2024-01-14,Active,20000,650,Home Improvement,5000,"The loan is to be repaid in monthly installments of $763.85 for 36 months. The first payment is due on 2022-02-14 and the last payment is due on 2024-01-14. The total amount paid over the life of the loan will be $27500.00, including the down payment of $5000.00 and the monthly payments of $22500.00. The interest paid over the life of the loan will be $4000.00. The total amount financed is $22000.00. The loan has a fixed interest rate of 12.5% per annum and the loan term is 36 months. The loan officer's name is Jane Doe and her ID is 1234. The loan was approved on 2022-01-15 and is subject to the terms and conditions of the loan agreement. The loan is secured by a collateral value of $20000.00.",1234
1161,8002,Personal,20000,60,7.5,2022-07-15,2025-07-15,Active,15000,720,Home Improvement,5000,"The repayment schedule will be as follows:
- Month 1-6: $333.33
- Month 7-12: $342.42
- Month 13-18: $351.51
- Month 19-24: $360.61
- Month 25-30: $369.71
- Month 31-36: $378.81
- Month 37-42: $387.91
- Month 43-48: $397.01
- Month 49-54: $406.11
- Month 55-60: $415.21",1001
23456,12345,Personal,25000,60,7.5,2022-01-01,2024-01-01,Active,30000,720,Home Improvement,5000,"Repayment Schedule:

Repayment Term: 60 months
Monthly Payment: $483.33
Interest Paid: $3588.17
Total Amount Paid: $27000




This repayment schedule assumes a fixed interest rate of 7.5% and equal monthly payments. The total amount paid will be $27000, including $3588.17 in interest. Please note that this is an estimate and actual payments may vary based on the lender's calculations.",98765
516,254,Personal Loan,15000,36,12.5,2022-01-01,2024-01-01,Active,0,720,Debt Consolidation,0,"The repayment schedule for this loan is as follows: The monthly payment will be $472.41 for 36 months. The total interest paid over the life of the loan will be $3579. The loan will be repaid in full on 01/01/2024. The borrower will make 36 monthly payments of $472.41, with the first payment due on 01/15/2022. The final payment will be made on 01/15/2024. The borrower will have made a total of 36 payments by the end of the loan term. The loan will be paid off in full on the last payment date. The borrower will have a remaining balance of $0 after the final payment. The loan will have been in repayment for 36 months by the time it is paid off. The borrower will have made 36 monthly payments of $472.41. The loan will be repaid in full on 01/15/2024. The borrower will have a remaining balance of $0 after the final payment. The loan will have been in repayment for 36 months by the time it is paid off. The borrower will have made 36 monthly payments of $472.41. The loan will be repaid in full on 01/15/2024. The borrower will have a remaining balance of $0 after the final payment. The loan will have been in repayment for 36 months by the time it is paid off.",111
23456,12345,Personal Loan,20000,36,12.5,2022-01-01,2025-01-01,Active,15000,650,Home Renovation,5000,"The loan is divided into 36 monthly payments. The payment amount is $666.67. The payment schedule is as follows: 
January 2022: $666.67, February 2022: $666.67, March 2022: $666.67, April 2022: $666.67, May 2022: $666.67, June 2022: $666.67, July 2022: $666.67, August 2022: $666.67, September 2022: $666.67, October 2022: $666.67, November 2022: $666.67, December 2022: $666.67, January 2023: $666.67, February 2023: $666.67, March 2023: $666.67, April 2023: $666.67, May 2023: $666.67, June 2023: $666.67, July 2023: $666.67, August 2023: $666.67, September 2023: $666.67, October 2023: $666.67, November 2023: $666.67, December 2023: $666.67, January 2024: $666.67, February 2024: $666.67, March 2024: $666.67, April 2024: $666.67, May 2024: $666.67, June 2024: $666.67, July 2024: $666.67, August 2024: $666.67, September 2024: $666.67, October 2024: $666.67, November 2024: $666.67, December 2024: $666.67, January 2025: $666.67.",67890
23457,12346,Business Loan,30000,60,10,2022-02-01,2027-02-01,Active,25000,720,Business Expansion,10000,"The loan is divided into 60 monthly payments. The payment amount is $500.00. The payment schedule is as follows: 
February 2022: $500.00, March 2022: $500.00, April 2022: $500.00, May 2022: $500.00, June 2022: $500.00, July 2022: $500.00, August 2022: $500.00, September 2022: $500.00, October 2022: $500.00, November 2022: $500.00, December 2022: $500.00, January 2023: $500.00, February 2023: $500.00, March 2023: $500.00, April 2023: $500.00, May 2023: $500.00, June 2023: $500.00, July 2023: $500.00, August 2023: $500.00, September 2023: $500.00, October 2023: $500.00, November 2023: $500.00, December 2023: $500.00, January 2024: $500.00, February 2024: $500.00, March 2024: $500.00, April 2024: $500.00, May 2024: $500.00, June 2024: $500.00, July 2024: $500.00, August 2024: $500.00, September 2024: $500.00, October 2024: $500.00, November 2024: $500.00, December 2024: $500.00, January 2025: $500.00, February 2025: $500.00, March 2025: $500.00, April 2025: $500.00, May 2025: $500.00, June 2025: $500.00, July 2025: $500.00, August 2025: $500.00, September 2025: $500.00, October 2025: $500.00, November 2025: $500.00, December 2025: $500.00, January 2026: $500.00, February 2026: $500.00, March 2026: $500.00, April 2026: $500.00, May 2026: $500.00, June 2026: $500.00, July 2026: $500.00, August 2026: $500.00, September 2026: $500.00, October 2026: $500.00, November 2026: $500.00, December 2026: $500.00, January 2027: $500.00, February 2027: $500.00",12345
2002,8001,Personal Loan,15000,36,12.5,2022-01-01,2024-01-01,Active,0,720,Wedding Expenses,5000,"The repayment schedule for this loan will be as follows:
- Month 1-3: $416.67
- Month 4-6: $416.67
- Month 7-12: $416.67
- Month 13-24: $416.67

This schedule will allow the customer to make equal monthly payments of $416.67 for 36 months, with a total interest paid of $3584.22 and a total repayment amount of $15584.22.",5001
2003,8002,Home Loan,300000,30,8,2022-02-01,2052-02-01,Active,320000,850,Home Purchase,60000,"The repayment schedule for this loan will be as follows:
- Month 1-12: $1333.33
- Month 13-60: $1333.33
- Month 61-360: $1333.33

This schedule will allow the customer to make equal monthly payments of $1333.33 for 360 months, with a total interest paid of $243919.58 and a total repayment amount of $543919.58.",5002
2004,8003,Business Loan,10000,24,15,2022-03-01,2024-03-01,Active,0,680,Business Expansion,2000,"The repayment schedule for this loan will be as follows:
- Month 1-6: $444.44
- Month 7-12: $444.44
- Month 13-18: $444.44
- Month 19-24: $444.44

This schedule will allow the customer to make equal monthly payments of $444.44 for 24 months, with a total interest paid of $2227.78 and a total repayment amount of $12227.78.",5003
